A.E. Phillips Laboratory School, Adams Classroom, 1309
A.E. Phillips Laboratory School, Band Building, 528
A.E. Phillips Laboratory School, Biomedical Engineering Building, 1584
A.E. Phillips Laboratory School, Davison Hall, 1584
A.E. Phillips Laboratory School, F. Jay Taylor Visual Arts Center, 440
A.E. Phillips Laboratory School, Institute for Micromanufacturing, 52
A.E. Phillips Laboratory School, Woodard Hall, 1584
Adams Classroom, A.E. Phillips Laboratory School, 1309
Adams Classroom, Davison Hall, 440
Band Building, A.E. Phillips Laboratory School, 528
Band Building, F. Jay Taylor Visual Arts Center, 528
Band Building, Woodard Hall, 528
Biomedical Engineering Building, A.E. Phillips Laboratory School, 1584
Biomedical Engineering Building, Davison Hall, 1584
Biomedical Engineering Building, F. Jay Taylor Visual Arts Center, 1584
Biomedical Engineering Building, Institute for Micromanufacturing, 1584
Bogard Hall, Carson-Taylor Hall, 1584
Bogard Hall, College of Business Building, 450
Bogard Hall, Engineering Annex, 76
Bogard Hall, Howard Center for the Performing Arts, 262
Bogard Hall, Nethken Hall, 295
Carson-Taylor Hall, Bogard Hall, 1584
Carson-Taylor Hall, Engineering Annex, 528
Carson-Taylor Hall, Howard Center for the Performing Arts, 308
Carson-Taylor Hall, Institute for Micromanufacturing, 4224
Carson-Taylor Hall, Nethken Hall, 528
College of Business Building, Bogard Hall, 450
College of Business Building, Nethken Hall, 1056
Davison Hall, A.E. Phillips Laboratory School, 1584
Davison Hall, Adams Classroom, 440
Davison Hall, Biomedical Engineering Building, 1584
Engineering Annex, Bogard Hall, 76
Engineering Annex, Carson-Taylor Hall, 528
Engineering Annex, Howard Center for the Performing Arts, 341
Engineering Annex, Nethken Hall, 217
F. Jay Taylor Visual Arts Center, A.E. Phillips Laboratory School, 440
F. Jay Taylor Visual Arts Center, Adams Classroom, 1584
F. Jay Taylor Visual Arts Center, Band Building, 528
F. Jay Taylor Visual Arts Center, Biomedical Engineering Building, 1584
F. Jay Taylor Visual Arts Center, Institute for Micromanufacturing, 290
F. Jay Taylor Visual Arts Center, Woodard Hall, 1056
George T. Madison Hall, Hale Hall, 1056
George T. Madison Hall, Wyly Tower of Learning, 285
Hale Hall, A.E. Phillips Laboratory School, 1584
Hale Hall, Band Building, 528
Hale Hall, F. Jay Taylor Visual Arts Center, 1056
Hale Hall, George T. Madison Hall, 1056
Hale Hall, Institute for Micromanufacturing, 1584
Hale Hall, Woodard Hall, 528
Hale Hall, Wyly Tower of Learning, 1584
Howard Center for the Performing Arts, Bogard Hall, 262
Howard Center for the Performing Arts, Carson-Taylor Hall, 308
Howard Center for the Performing Arts, Engineering Annex, 341
Howard Center for the Performing Arts, Nethken Hall, 1056
Institute for Micromanufacturing, A.E. Phillips Laboratory School, 52
Institute for Micromanufacturing, Adams Classroom, 1056
Institute for Micromanufacturing, Band Building, 528
Institute for Micromanufacturing, Biomedical Engineering Building, 1584
Institute for Micromanufacturing, Davison Hall, 1584
Institute for Micromanufacturing, F. Jay Taylor Visual Arts Center, 290
Institute for Micromanufacturing, George T. Madison Hall, 3168
Institute for Micromanufacturing, Hale Hall, 1584
Institute for Micromanufacturing, Woodard Hall, 1056
Nethken Hall, Bogard Hall, 295
Nethken Hall, Carson-Taylor Hall, 528
Nethken Hall, College of Business Building, 1056
Nethken Hall, Engineering Annex, 217
Nethken Hall, Howard Center for the Performing Arts, 1056
Woodard Hall, F. Jay Taylor Visual Arts Center, 1056
Woodard Hall, George T. Madison Hall, 1056
Woodard Hall, Hale Hall, 528
Woodard Hall, Institute for Micromanufacturing, 1056
Wyly Tower of Learning, College of Business Building, 2112
Wyly Tower of Learning, George T. Madison Hall, 285
