A.E. Phillips Laboratory School
Adams Classroom
Adams Hall (Residence)
Argent Pavilion
Aswell Hall (Residence)
Aswell Suites (Residence A,B,C)
Band Building
Barnes & Noble Bookstore
Biomedical Engineering Building
Bogard Hall (Engineering)
Carson-Taylor Hall (Human Ecology & Science)
Centennial Plaza/Centennial Tower
College of Business
Cottingham Hall (Residence)
Davison Athletics Complex
Davison Hall (Professional Aviation Building)
Dudley Hall (Residence)
Dudley Suites (Residence A,B,C,D,E)
Early Childhood Education Center (Human Ecology)
Engineering Annex
F. Jay Taylor Visual Arts Center
Flight Operations Center (Ruston Airport)
Football Practice Field
Garland Gregory Hideaway Park
George T. Madison Hall (Arts & Sciences)
Graham Hall (Residence)
Hale Hall (Admissions & Architecture)
Harper Hall (Residence)
Howard Center for the Performing Arts
Institute for Micromanufacturing
Intramural Lower Field
J.C. Love Field at Pat Patterson Park
Jim Mize Track & Field Complex
Joe Aillet Field House & Charles Wyly Athletics Center
Joe Aillet Stadium
KLPI Radio Station
Keeny Hall (Administration)
Lady Techsters Soccer Field
Lady Techsters Softball Complex
Lambright Intramural Sports Center
Landscape/Lawnmower Shop
Legacy Park Apartments (Harper Commons A,B,C)
Legacy Park Apartments (Pearce Commons A,B,C)
Marbury Alumni Center
Memorial Gymnasium
Mitchell Hall (Residence)
Nethken Hall (Engineering)
Park Place Apartments (Hutcheson Commons A,B,C,D,E)
Park Place Apartments (Jenkins Commons A,B,C,D)
Park Place Apartments (McFarland Commons A,B,C)
Planetarium
Power Plant & Custodial Offices
Prescott Memorial Library
President's Home
Richardson Hall (Art Studios)
Robert H. Rawle Enterprise Center
Robinson Hall (Speech & Hearing Clinic)
Ropp Center (University Club)
Rugby Field
Sorority Row
South Hall (University Police/Health Clinic)
Spirit Park
Student Center
T.H. Harris
Tech Pointe
Tech Tennis Complex
Thomas Assembly Center
Tolliver Hall/Post Office
University Hall (Center for Entrepreneurship and Informattion Technology)
University Park Apartments (Caruthers Commons A,B,C,D)
University Park Apartments (Kidd Commons A,B,C)
University Park Apartments (Neilson Commons A,B,C,D)
University Park Apartments (Sutton Commons A,B,C,D,E)
University Park Apartments (Thatcher Commons A,B)
Woodard Hall (Education & Idea Place)
Wyly Tower of Learning
